answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcH7ErbFrZ4sUPLJezv;1;8;ColegiolaEnsenanza;1;3;0;1+3?;4;4;5,006703854;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsSjesDYJX4Xkg-;1;8;ColegiolaEnsenanza;1;3;0;4+2?;6;6;3,169437885;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsU-lzOccH3cGpg;1;8;ColegiolaEnsenanza;1;3;0;4+3?;7;7;4,103590012;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsV8SjB5XddMh33;1;8;ColegiolaEnsenanza;1;3;0;3+1?;4;4;5,905170441;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsYx08x-fdGjcke;1;8;ColegiolaEnsenanza;1;3;0;6+4?;10;10;16,71466064;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Es_tj7Mhk4XBtVB;1;8;ColegiolaEnsenanza;1;3;1;1+10?;11;11;3,002788544;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esa5Pzl6VoWBlZt;1;8;ColegiolaEnsenanza;1;3;1;3+10?;13;13;3,319618225;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esco4nQNCEvJmQf;1;8;ColegiolaEnsenanza;1;3;1;5+10?;15;15;4,170173645;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Ese_Q0ZOlg9wyIV;1;8;ColegiolaEnsenanza;1;3;1;7+10?;17;17;3,269565582;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esg10KAJm9evR2y;1;8;ColegiolaEnsenanza;1;3;1;0+10?;10;10;2,452571869;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EshMelDuYzEimS4;1;8;ColegiolaEnsenanza;1;3;2;2+12?;14;14;2,635513306;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsjaawIk7T9YAYr;1;8;ColegiolaEnsenanza;1;3;2;6+11?;17;17;6,517090797;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EslbAbrMKsYk-eC;1;8;ColegiolaEnsenanza;1;3;2;7+17?;24;-;12,52766514;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esmj2Z7BUrcUUCS;1;8;ColegiolaEnsenanza;1;3;2;8+21?;29;29;14,72964478;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Eso2-EEUpCQC3b6;1;8;ColegiolaEnsenanza;1;3;2;3+30?;33;33;2,552232742;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esp5TJI2aKubbxc;1;8;ColegiolaEnsenanza;1;3;3;13+10?;23;23;4,904312134;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsrPhwJLPbmGt0z;1;8;ColegiolaEnsenanza;1;3;3;22+10?;32;32;10,05882645;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Ess7CfoeTtbSIMt;1;8;ColegiolaEnsenanza;1;3;3;17+10?;27;27;3,75328064;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EsugVLFCcOMBiau;1;8;ColegiolaEnsenanza;1;3;3;33+10?;43;43;4,036872864;1;¿-LcH7ErS4oqzMVh8glTH
-LcH7Eswz9-9pKeww3PL;2;8;ColegiolaEnsenanza;1;3;3;40+10?;50;50;6,706630707;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Esx0YloyUOeZcmf;1;8;ColegiolaEnsenanza;1;3;4;17+25?;42;34;10,17258453;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7EszxQUeM1qCwWyA;1;8;ColegiolaEnsenanza;1;3;4;25+25?;50;40;15,61352921;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Et-h5yoPN5Kgt5k;1;8;ColegiolaEnsenanza;1;3;4;42+35?;77;77;13,79530716;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Et0jwAI4_MSOeHg;1;8;ColegiolaEnsenanza;1;3;4;46+37?;83;67;44,87042999;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Et5cnGJnELuaTGQ;1;8;ColegiolaEnsenanza;1;3;4;61+39?;100;80;6,006155014;1;¿-LcH7ErS4oqzMVh8glTH
¿-LcH7Et7GMxIMv8o5pI9;1;7;ColegiolaEnsenanza;1;1;0;1+3?;4;4;28,7326107;1;¿-LcH7Et6OfHmt5lHFkpt
-LcH7Et9-6IxaBM-jpxe;1;7;ColegiolaEnsenanza;1;1;0;4+2?;6;6;10,61021614;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtBtMW0mdLLTuxa;1;7;ColegiolaEnsenanza;1;1;0;4+3?;7;6;11,54371643;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtCRoWmxn6n_tt_;1;7;ColegiolaEnsenanza;1;1;0;3+1?;4;4;8,607906342;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtEYkuRPkM-jNOF;1;7;ColegiolaEnsenanza;1;1;0;6+4?;10;-;12,89971828;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtF9P23-EyiTDY2;1;7;ColegiolaEnsenanza;1;1;1;1+10?;11;-;10,67547035;1;¿-LcH7Et6OfHmt5lHFkpt
-LcH7EtGs2JDRMA5ha2-;1;7;ColegiolaEnsenanza;1;1;1;3+10?;13;13;27,64029694;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtHiEpfuGQX6kjB;1;7;ColegiolaEnsenanza;1;1;1;5+10?;15;15;36,68077469;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtIVZCJF6kxVcEh;1;7;ColegiolaEnsenanza;1;1;1;7+10?;17;-;31,72607803;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtJZ7q4DJN1It21;1;7;ColegiolaEnsenanza;1;1;1;0+10?;10;10;9,373858452;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtKOl1B1Ae8B5ST;1;7;ColegiolaEnsenanza;1;1;2;2+12?;14;-;21,15191078;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtL8UM8kt3jleF7;1;7;ColegiolaEnsenanza;1;1;2;6+11?;17;-;64,77194214;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtMuyGx-G3BgVcV;1;7;ColegiolaEnsenanza;1;1;2;7+17?;24;-;8,775054932;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtNKJAUkgcm6vlg;1;7;ColegiolaEnsenanza;1;1;2;8+21?;29;-;31,77415466;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtO6RXXR1GLtSUM;1;7;ColegiolaEnsenanza;1;1;2;3+30?;33;-;13,3453598;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtPZpnBATux5CGF;1;7;ColegiolaEnsenanza;1;1;3;13+10?;23;23;79,86928558;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtQEBrVY8gTpVR3;1;7;ColegiolaEnsenanza;1;1;3;22+10?;32;32;41,36470032;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtRiyDFQiETINSl;1;7;ColegiolaEnsenanza;1;1;3;17+10?;27;-;13,34645844;1;¿-LcH7Et6OfHmt5lHFkpt
