,answerChangedCount,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
0,1,8,Colegio la Ensenanza,1,3,0,1+3=?,5.00670385360718,-LcH7ErS4oqzMVh8glTH,1
1,1,8,Colegio la Ensenanza,1,3,0,4+2=?,3.16943788528442,-LcH7ErS4oqzMVh8glTH,1
2,1,8,Colegio la Ensenanza,1,3,0,4+3=?,4.10359001159668,-LcH7ErS4oqzMVh8glTH,1
3,1,8,Colegio la Ensenanza,1,3,0,3+1=?,5.90517044067383,-LcH7ErS4oqzMVh8glTH,1
4,1,8,Colegio la Ensenanza,1,3,0,6+4=?,16.7146606445313,-LcH7ErS4oqzMVh8glTH,1
5,1,8,Colegio la Ensenanza,1,3,1,1+10=?,3.00278854370117,-LcH7ErS4oqzMVh8glTH,1
6,1,8,Colegio la Ensenanza,1,3,1,3+10=?,3.31961822509766,-LcH7ErS4oqzMVh8glTH,1
7,1,8,Colegio la Ensenanza,1,3,1,5+10=?,4.17017364501953,-LcH7ErS4oqzMVh8glTH,1
8,1,8,Colegio la Ensenanza,1,3,1,7+10=?,3.26956558227539,-LcH7ErS4oqzMVh8glTH,1
9,1,8,Colegio la Ensenanza,1,3,1,0+10=?,2.45257186889648,-LcH7ErS4oqzMVh8glTH,1
10,1,8,Colegio la Ensenanza,1,3,2,2+12=?,2.63551330566406,-LcH7ErS4oqzMVh8glTH,1
11,1,8,Colegio la Ensenanza,1,3,2,6+11=?,6.51709079742432,-LcH7ErS4oqzMVh8glTH,1
12,1,8,Colegio la Ensenanza,1,3,2,7+17=?,12.5276651382446,-LcH7ErS4oqzMVh8glTH,0
13,1,8,Colegio la Ensenanza,1,3,2,8+21=?,14.7296447753906,-LcH7ErS4oqzMVh8glTH,1
14,1,8,Colegio la Ensenanza,1,3,2,3+30=?,2.55223274230957,-LcH7ErS4oqzMVh8glTH,1
15,1,8,Colegio la Ensenanza,1,3,3,13+10=?,4.90431213378906,-LcH7ErS4oqzMVh8glTH,1
16,1,8,Colegio la Ensenanza,1,3,3,22+10=?,10.0588264465332,-LcH7ErS4oqzMVh8glTH,1
17,1,8,Colegio la Ensenanza,1,3,3,17+10=?,3.75328063964844,-LcH7ErS4oqzMVh8glTH,1
18,1,8,Colegio la Ensenanza,1,3,3,33+10=?,4.03687286376953,-LcH7ErS4oqzMVh8glTH,1
19,2,8,Colegio la Ensenanza,1,3,3,40+10=?,6.70663070678711,-LcH7ErS4oqzMVh8glTH,1
20,1,8,Colegio la Ensenanza,1,3,4,17+25=?,10.1725845336914,-LcH7ErS4oqzMVh8glTH,0
21,1,8,Colegio la Ensenanza,1,3,4,25+25=?,15.6135292053223,-LcH7ErS4oqzMVh8glTH,0
22,1,8,Colegio la Ensenanza,1,3,4,42+35=?,13.7953071594238,-LcH7ErS4oqzMVh8glTH,1
23,1,8,Colegio la Ensenanza,1,3,4,46+37=?,44.8704299926758,-LcH7ErS4oqzMVh8glTH,0
24,1,8,Colegio la Ensenanza,1,3,4,61+39=?,6.00615501403809,-LcH7ErS4oqzMVh8glTH,0
25,1,7,Colegio la Ensenanza,1,1,0,1+3=?,28.7326107025146,-LcH7Et6OfHmt5lHFkpt,1
26,1,7,Colegio la Ensenanza,1,1,0,4+2=?,10.6102161407471,-LcH7Et6OfHmt5lHFkpt,1
27,1,7,Colegio la Ensenanza,1,1,0,4+3=?,11.5437164306641,-LcH7Et6OfHmt5lHFkpt,0
28,1,7,Colegio la Ensenanza,1,1,0,3+1=?,8.60790634155273,-LcH7Et6OfHmt5lHFkpt,1
29,1,7,Colegio la Ensenanza,1,1,0,6+4=?,12.8997182846069,-LcH7Et6OfHmt5lHFkpt,0
30,1,7,Colegio la Ensenanza,1,1,1,1+10=?,10.6754703521729,-LcH7Et6OfHmt5lHFkpt,0
31,1,7,Colegio la Ensenanza,1,1,1,3+10=?,27.6402969360352,-LcH7Et6OfHmt5lHFkpt,1
32,1,7,Colegio la Ensenanza,1,1,1,5+10=?,36.6807746887207,-LcH7Et6OfHmt5lHFkpt,1
33,1,7,Colegio la Ensenanza,1,1,1,7+10=?,31.7260780334473,-LcH7Et6OfHmt5lHFkpt,0
34,1,7,Colegio la Ensenanza,1,1,1,0+10=?,9.37385845184326,-LcH7Et6OfHmt5lHFkpt,1
