id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQZuzKIyNwR9BjyCRb,11,Hartford International School,0,5,0,1+3=?,4,4,3.8461084365844727,1,-LaQZtfxo0QA8Ij62dk1
-LaQZvtdCeLWO-JIpe-5,10,Hartford International School,0,5,0,1+3=?,4,4,2.995306491851806,1,-LaQZurPwCF55Hiv18kH
-LaQZw327YO_BI2Q6T4S,11,Hartford International School,0,5,0,4+2=?,6,6,4.3954105377197275,1,-LaQZtfxo0QA8Ij62dk1
-LaQZwUESO5MHv2WwDPU,10,Hartford International School,0,5,0,4+2=?,6,6,2.422332763671875,1,-LaQZurPwCF55Hiv18kH
-LaQZxM_2u3CMfFABrsf,11,Hartford International School,0,5,0,4+3=?,7,7,5.348061561584473,1,-LaQZtfxo0QA8Ij62dk1
-LaQZxo2ftJ6yznn-S0B,11,Hartford International School,0,5,0,3+1=?,4,4,1.821805000305176,1,-LaQZtfxo0QA8Ij62dk1
-LaQZyF_PFe28n9FPZ_E,10,Hartford International School,0,5,0,4+3=?,7,7,7.252772808074951,1,-LaQZurPwCF55Hiv18kH
-LaQZyJEMTLH8853Xqhd,10,Hartford International School,0,5,0,1+3=?,4,4,8.776219367980957,1,-LaQZvlOUvQcKzVILey9
-LaQZz4MQ-QUgAECRK-y,10,Hartford International School,0,5,0,4+2=?,6,6,3.1583566665649414,1,-LaQZvlOUvQcKzVILey9
-LaQZzA0-R-RZS3wqszl,11,Hartford International School,0,5,0,6+4=?,10,10,5.56516170501709,1,-LaQZtfxo0QA8Ij62dk1
-LaQZzNvDOYm4HvDwUC8,10,Hartford International School,0,5,0,1+3=?,4,4,4.448989391326903,1,-LaQZxvCZUvf9J0938NI
-LaQZzUn-qpYGYlMih1p,10,Hartford International School,0,5,0,3+1=?,4,4,5.064397811889648,1,-LaQZurPwCF55Hiv18kH
-LaQZzbmdxeJXuWryNOZ,10,Hartford International School,0,5,0,4+3=?,7,7,2.206570625305176,1,-LaQZvlOUvQcKzVILey9
-LaQZzyhLQ9LRipwgiia,11,Hartford International School,0,5,1,1+10=?,11,11,3.3088111877441406,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_-2TSqxgAAa2mi8i,10,Hartford International School,0,5,0,3+1=?,4,4,1.7713680267333984,1,-LaQZvlOUvQcKzVILey9
-LaQ_-3l_U_0Kv8EGvcm,10,Hartford International School,0,5,0,6+4=?,10,10,2.373239517211914,1,-LaQZurPwCF55Hiv18kH
-LaQ_-PvAjzxFHoA1ZlC,10,Hartford International School,0,5,0,4+2=?,6,6,4.227558612823486,1,-LaQZxvCZUvf9J0938NI
-LaQ_-bmxPcoIqtGnFf_,10,Hartford International School,0,5,1,1+10=?,11,11,2.2396526336669917,1,-LaQZurPwCF55Hiv18kH
-LaQ_-giqHD5C5jnSFVV,10,Hartford International School,0,5,0,6+4=?,10,10,2.640631675720215,1,-LaQZvlOUvQcKzVILey9
-LaQ_-uGLEfLps01D8Fl,10,Hartford International School,0,5,0,4+3=?,7,7,2.0058364868164062,1,-LaQZxvCZUvf9J0938NI
-LaQ_07h9DgGuJN2PclA,10,Hartford International School,0,5,1,1+10=?,11,11,1.78790283203125,1,-LaQZvlOUvQcKzVILey9
