,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
0,11,Hartford International School,0,5,0,1+3=?,3.8461084365844727,-LaQZtfxo0QA8Ij62dk1,1
1,10,Hartford International School,0,5,0,1+3=?,2.995306491851806,-LaQZurPwCF55Hiv18kH,1
2,11,Hartford International School,0,5,0,4+2=?,4.3954105377197275,-LaQZtfxo0QA8Ij62dk1,1
3,10,Hartford International School,0,5,0,4+2=?,2.422332763671875,-LaQZurPwCF55Hiv18kH,1
4,11,Hartford International School,0,5,0,4+3=?,5.348061561584473,-LaQZtfxo0QA8Ij62dk1,1
5,11,Hartford International School,0,5,0,3+1=?,1.821805000305176,-LaQZtfxo0QA8Ij62dk1,1
6,10,Hartford International School,0,5,0,4+3=?,7.252772808074951,-LaQZurPwCF55Hiv18kH,1
7,10,Hartford International School,0,5,0,1+3=?,8.776219367980957,-LaQZvlOUvQcKzVILey9,1
8,10,Hartford International School,0,5,0,4+2=?,3.1583566665649414,-LaQZvlOUvQcKzVILey9,1
9,11,Hartford International School,0,5,0,6+4=?,5.56516170501709,-LaQZtfxo0QA8Ij62dk1,1
10,10,Hartford International School,0,5,0,1+3=?,4.448989391326903,-LaQZxvCZUvf9J0938NI,1
11,10,Hartford International School,0,5,0,3+1=?,5.064397811889648,-LaQZurPwCF55Hiv18kH,1
12,10,Hartford International School,0,5,0,4+3=?,2.206570625305176,-LaQZvlOUvQcKzVILey9,1
13,11,Hartford International School,0,5,1,1+10=?,3.3088111877441406,-LaQZtfxo0QA8Ij62dk1,1
14,10,Hartford International School,0,5,0,3+1=?,1.7713680267333984,-LaQZvlOUvQcKzVILey9,1
15,10,Hartford International School,0,5,0,6+4=?,2.373239517211914,-LaQZurPwCF55Hiv18kH,1
16,10,Hartford International School,0,5,0,4+2=?,4.227558612823486,-LaQZxvCZUvf9J0938NI,1
17,10,Hartford International School,0,5,1,1+10=?,2.2396526336669917,-LaQZurPwCF55Hiv18kH,1
18,10,Hartford International School,0,5,0,6+4=?,2.640631675720215,-LaQZvlOUvQcKzVILey9,1
19,10,Hartford International School,0,5,0,4+3=?,2.0058364868164062,-LaQZxvCZUvf9J0938NI,1
20,10,Hartford International School,0,5,1,1+10=?,1.78790283203125,-LaQZvlOUvQcKzVILey9,1
21,11,Hartford International School,0,5,1,3+10=?,5.030439376831055,-LaQZtfxo0QA8Ij62dk1,1
22,10,Hartford International School,0,5,1,3+10=?,2.5899314880371094,-LaQZurPwCF55Hiv18kH,1
23,10,Hartford International School,0,5,1,3+10=?,2.0393505096435547,-LaQZvlOUvQcKzVILey9,1
24,10,Hartford International School,0,5,0,3+1=?,3.442671775817871,-LaQZxvCZUvf9J0938NI,1
25,10,Hartford International School,0,5,1,5+10=?,2.240020751953125,-LaQZurPwCF55Hiv18kH,1
26,11,Hartford International School,0,5,1,5+10=?,2.6405181884765625,-LaQZtfxo0QA8Ij62dk1,1
27,11,Hartford International School,0,5,1,7+10=?,1.7716045379638672,-LaQZtfxo0QA8Ij62dk1,1
28,10,Hartford International School,0,5,1,5+10=?,2.707254409790039,-LaQZvlOUvQcKzVILey9,1
29,10,Hartford International School,0,5,1,7+10=?,2.355579376220703,-LaQZurPwCF55Hiv18kH,1
30,10,Hartford International School,1,5,0,1+3=?,3.715728044509888,-LaQ_08Mr96o00YYSj4_,1
