,answerChangedCount,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
0,1,10,Colegio la Ensenanza,1,5,1,0+10=?,3.025648117,-LcC9XItyyOrVxzcUKCC,1
1,1,10,Colegio la Ensenanza,1,5,2,7+17=?,7.353916168,-LcC9XItyyOrVxzcUKCC,1
2,1,10,Colegio la Ensenanza,1,5,1,3+10=?,3.158555984,-LcC9XItyyOrVxzcUKCC,1
3,1,10,Colegio la Ensenanza,1,5,1,5+10=?,2.3404903409999998,-LcC9XItyyOrVxzcUKCC,1
4,1,10,Colegio la Ensenanza,1,5,2,8+21=?,3.744300842,-LcC9XItyyOrVxzcUKCC,1
5,1,10,Colegio la Ensenanza,1,5,1,7+10=?,2.339868546,-LcC9XItyyOrVxzcUKCC,1
6,1,10,Colegio la Ensenanza,1,5,2,3+30=?,2.540687561,-LcC9XItyyOrVxzcUKCC,1
7,1,10,Colegio la Ensenanza,1,5,3,13+10=?,3.727134705,-LcC9XItyyOrVxzcUKCC,1
8,1,10,Colegio la Ensenanza,1,5,3,22+10=?,3.911235809,-LcC9XItyyOrVxzcUKCC,1
9,1,10,Colegio la Ensenanza,1,5,4,25+25=?,3.660400391,-LcC9XItyyOrVxzcUKCC,1
10,1,10,Colegio la Ensenanza,1,5,4,46+37=?,13.1046257,-LcC9XItyyOrVxzcUKCC,1
11,1,10,Colegio la Ensenanza,1,5,3,33+10=?,5.632846355,-LcC9XItyyOrVxzcUKCC,1
12,1,10,Colegio la Ensenanza,1,5,3,40+10=?,3.059169769,-LcC9XItyyOrVxzcUKCC,1
13,1,10,Colegio la Ensenanza,1,5,4,61+39=?,8.407318115,-LcC9XItyyOrVxzcUKCC,1
14,1,10,Colegio la Ensenanza,1,5,4,17+25=?,19.13788414,-LcC9XItyyOrVxzcUKCC,1
15,1,10,Colegio la Ensenanza,1,5,4,42+35=?,5.231880188,-LcC9XItyyOrVxzcUKCC,1
16,1,10,Colegio la Ensenanza,1,5,1,1+10=?,2.089794159,-LcC9XItyyOrVxzcUKCC,1
17,1,10,Colegio la Ensenanza,1,5,0,6+4=?,2.623589516,-LcC9XItyyOrVxzcUKCC,1
18,1,10,Colegio la Ensenanza,1,5,3,17+10=?,3.5646369460000003,-LcC9XItyyOrVxzcUKCC,1
19,1,10,Colegio la Ensenanza,1,5,0,1+3=?,3.516330719,-LcC9XItyyOrVxzcUKCC,1
20,1,10,Colegio la Ensenanza,1,5,2,2+12=?,2.840919495,-LcC9XItyyOrVxzcUKCC,1
21,1,10,Colegio la Ensenanza,1,5,2,6+11=?,3.727806091,-LcC9XItyyOrVxzcUKCC,1
22,1,10,Colegio la Ensenanza,1,5,0,4+2=?,3.8288455010000004,-LcC9XItyyOrVxzcUKCC,1
23,1,10,Colegio la Ensenanza,1,5,0,4+3=?,4.579615116,-LcC9XItyyOrVxzcUKCC,1
24,1,10,Colegio la Ensenanza,1,5,0,3+1=?,2.056008339,-LcC9XItyyOrVxzcUKCC,1
25,1,9,Colegio la Ensenanza,1,5,3,33+10=?,7.7546501160000005,-LcC9XonlJh6zjm8wRMb,1
26,1,9,Colegio la Ensenanza,1,5,2,7+17=?,4.946674347,-LcC9XonlJh6zjm8wRMb,1
27,1,9,Colegio la Ensenanza,1,5,4,46+37=?,26.94023132,-LcC9XonlJh6zjm8wRMb,1
28,1,9,Colegio la Ensenanza,1,5,1,7+10=?,2.323066711,-LcC9XonlJh6zjm8wRMb,1
29,1,9,Colegio la Ensenanza,1,5,2,8+21=?,5.983341217,-LcC9XonlJh6zjm8wRMb,1
30,1,9,Colegio la Ensenanza,1,5,2,3+30=?,3.776241302,-LcC9XonlJh6zjm8wRMb,1
31,1,9,Colegio la Ensenanza,1,5,1,5+10=?,2.540306091,-LcC9XonlJh6zjm8wRMb,1
32,1,9,Colegio la Ensenanza,1,5,0,1+3=?,6.119636058999999,-LcC9XonlJh6zjm8wRMb,1
33,1,9,Colegio la Ensenanza,1,5,4,42+35=?,11.06336021,-LcC9XonlJh6zjm8wRMb,0
34,1,9,Colegio la Ensenanza,1,5,3,40+10=?,2.540241241,-LcC9XonlJh6zjm8wRMb,1
35,1,9,Colegio la Ensenanza,1,5,3,22+10=?,6.718693732999999,-LcC9XonlJh6zjm8wRMb,1
36,1,9,Colegio la Ensenanza,1,5,4,61+39=?,47.08073425,-LcC9XonlJh6zjm8wRMb,1
37,1,9,Colegio la Ensenanza,1,5,1,3+10=?,3.743293762,-LcC9XonlJh6zjm8wRMb,1
38,1,9,Colegio la Ensenanza,1,5,4,25+25=?,7.01978302,-LcC9XonlJh6zjm8wRMb,1
39,1,9,Colegio la Ensenanza,1,5,3,13+10=?,7.47061348,-LcC9XonlJh6zjm8wRMb,1
40,1,9,Colegio la Ensenanza,1,5,4,17+25=?,17.46775818,-LcC9XonlJh6zjm8wRMb,1
41,1,9,Colegio la Ensenanza,1,5,0,4+3=?,3.9611797330000003,-LcC9XonlJh6zjm8wRMb,1
42,1,9,Colegio la Ensenanza,1,5,2,2+12=?,2.9910163880000002,-LcC9XonlJh6zjm8wRMb,1
43,1,9,Colegio la Ensenanza,1,5,3,17+10=?,28.91135025,-LcC9XonlJh6zjm8wRMb,1
44,1,9,Colegio la Ensenanza,1,5,1,1+10=?,2.52394104,-LcC9XonlJh6zjm8wRMb,1
45,1,9,Colegio la Ensenanza,1,5,0,6+4=?,4.562072754,-LcC9XonlJh6zjm8wRMb,1
46,1,9,Colegio la Ensenanza,1,5,0,4+2=?,4.746092319,-LcC9XonlJh6zjm8wRMb,1
47,1,9,Colegio la Ensenanza,1,5,1,0+10=?,2.824508667,-LcC9XonlJh6zjm8wRMb,1
