answerID,answerChangedCount,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LcC9YTT1z3chbNjjLz0,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,3.516330719,1,-LcC9XItyyOrVxzcUKCC
-LcC9ZI_AHFh-xldatx-,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,4.707388401,1,-LcC9Y01hq-wpSGPOKxj
-LcC9ZQ5GRSmhi5gMeI1,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,3.828845501,1,-LcC9XItyyOrVxzcUKCC
-LcC9ZbnEritDIyDnakp,1,9,Colegio la Ensenanza,1,5,0,1+3=?,4,4,6.119636059,1,-LcC9XonlJh6zjm8wRMb
-LcC9_-iQ0ybqS1n3QRk,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,2.886627674,1,-LcC9Y01hq-wpSGPOKxj
-LcC9_Xiv_WpgttXIWAL,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,4.579615116,1,-LcC9XItyyOrVxzcUKCC
-LcC9_mDamwVB8sTItiA,1,9,Colegio la Ensenanza,1,5,0,4+2=?,6,6,4.746092319,1,-LcC9XonlJh6zjm8wRMb
-LcC9a-Yp4hMnTtdouTE,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,4.087166786,1,-LcC9Y01hq-wpSGPOKxj
-LcC9a1n4XUxf3jWRSlk,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.056008339,1,-LcC9XItyyOrVxzcUKCC
-LcC9aToGKIEd7mQYp2a,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,1.935474396,1,-LcC9Y01hq-wpSGPOKxj
-LcC9afk3D_DoxGqP6cP,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,2.623589516,1,-LcC9XItyyOrVxzcUKCC
-LcC9akPcBWe1QM5obE9,1,9,Colegio la Ensenanza,1,5,0,4+3=?,7,7,3.961179733,1,-LcC9XonlJh6zjm8wRMb
