answerID,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo
-LZebfrz8S0zmQ0FoEks,7,"Hartford International School",0,2,0,2+2=?,4,4,6.1606793404,1
-LZebh7EPeRpla0dahu2,7,"Hartford International School",0,2,0,4+2=?,6,6,5.1394324303,1
-LZebiIrVH2OeU5aQwNc,6,"Hartford International School",0,1,0,2+2=?,4,4,12.9758815765,1
-LZebiNYqid7NnJpx13A,7,"Hartford International School",0,2,0,6+3=?,9,9,5.139043808,1
-LZebjQ1D0U3SXXlXOEr,7,"Hartford International School",0,2,0,2+0=?,2,2,4.2550258636,1
-LZebkTIoxUxmvxQNsby,7,"Hartford International School",0,2,0,2+8=?,10,10,4.3050823212000005,1
-LZeblAwb_rRiwngpVTy,7,"Hartford International School",0,2,1,5+5=?,10,10,2.9201145172,1
-LZebmAoAcqzafGkWQrg,7,"Hartford International School",0,2,1,1+10=?,11,11,4.0881633759,1
-LZebn8apeiim7ZsM8y6,7,"Hartford International School",0,2,1,2+10=?,12,12,3.9546852112,1
-LZeboNKxVphmzERJdeR,7,"Hartford International School",0,2,1,7+10=?,17,17,5.0391845703,1
-LZeboqOFwS9PHxX83OA,6,"Hartford International School",0,1,0,4+2=?,6,6,26.6179218292,1
-LZebpJox4CsTTSc9scL,7,"Hartford International School",0,2,1,10+2=?,12,12,3.8711051941,1
-LZebqKkJ2b1U20eJauV,7,"Hartford International School",0,2,2,10+8=?,18,18,4.1549491882,1
-LZebrHUbZQdcA-iFuW1,7,"Hartford International School",0,2,2,10+7=?,17,17,3.8879966736,1
-LZebsGa2D88je2Nw0T5,7,"Hartford International School",0,2,2,10+6=?,16,16,4.0377235413,1
-LZebvK8jSYmhrIvD-A_,7,"Hartford International School",0,2,2,12+8=?,20,24,12.5079393387,1
-LZebxmAAsQAh638yCXD,7,"Hartford International School",1,2,0,2+2=?,4,4,4.258149147,1
-LZebyGMWyedWtWTw5p_,7,"Hartford International School",0,2,2,11+4=?,15,15,12.0475349426,1
-LZebyNnGncR1zu9SrXD,6,"Hartford International School",0,1,0,6+3=?,9,8,39.0664520264,1
-LZebzVCTRdDrhtBYJOn,7,"Hartford International School",1,2,0,4+2=?,6,6,7.041601181,1
-LZec-Nhw5NsXPISDG81,7,"Hartford International School",0,2,3,7+13=?,20,20,8.6632423401,1
-LZec0VjO3QXGZSwnpE-,7,"Hartford International School",1,2,0,6+3=?,9,9,8.2263021469,1
-LZec0nfNLLKlS42GR3n,7,"Hartford International School",0,2,3,3+12=?,15,15,5.8238525391,1
-LZec1Xr7aJLfrHLTTw7,7,"Hartford International School",0,2,3,0+20=?,20,20,3.0203590393,1
-LZec2219MdH8h3tn6ni,7,"Hartford International School",1,2,0,2+0=?,2,2,6.2908668518,1
-LZec29HVlWwxVT7CukS,6,"Hartford International School",0,1,0,2+2=?,4,4,14.3563117981,1
-LZec3UWPrYQ-fnTCcXw,6,"Hartford International School",0,1,0,4+2=?,6,6,5.4533519745,1
-LZec3VPzDnso9nQzYYN,7,"Hartford International School",1,2,0,2+8=?,10,10,5.9740409851,1
-LZec48IDmt647tyQGes,7,"Hartford International School",1,2,1,5+5=?,10,10,2.6193943024,1
