,loID,grado,tiempo
0,0,1,11.5437164306641
1,0,2,10.4937267303467
2,0,3,5.905170440673831
3,0,4,4.490442276000975
4,0,5,3.897984982
5,1,1,6.35253143310547
6,1,2,7.1290922164917
7,1,3,3.72926139831543
8,1,4,2.8160667419433603
9,1,5,2.753276825
10,2,1,13.2322311401367
11,2,2,13.961719512939501
12,2,3,7.42237091064453
13,2,4,5.467178344726564
14,2,5,5.122695923
15,3,1,10.806884765625
16,3,2,16.8070068359375
17,3,3,8.64312744140625
18,3,4,5.270660400390625
19,3,5,5.397461414
20,4,1,9.66931533813477
21,4,2,17.370426177978498
22,4,3,15.613529205322301
23,4,4,14.30824613571165
24,4,5,11.04331779
